Outcome,Implied Probability (%),Market Description,Data Source
Boston Celtics,38.5,Championship Winner,BetMGM
Dallas Mavericks,5.0,Championship Winner,BetMGM
Minnesota Timberwolves,4.8,Championship Winner,BetMGM
Indiana Pacers,1.0,Championship Winner,BetMGM
Denver Nuggets,25.6,Championship Winner,BetMGM
Oklahoma City Thunder,5.9,Championship Winner,BetMGM
New York Knicks,2.4,Championship Winner,BetMGM
Cleveland Cavaliers,2.0,Championship Winner,BetMGM
Los Angeles Clippers,7.1,Championship Winner,BetMGM
Milwaukee Bucks,6.7,Championship Winner,BetMGM
Philadelphia 76ers,6.7,Championship Winner,BetMGM
Phoenix Suns,6.7,Championship Winner,BetMGM
Los Angeles Lakers,3.8,Championship Winner,BetMGM
Miami Heat,2.4,Championship Winner,BetMGM
New Orleans Pelicans,2.0,Championship Winner,BetMGM
Orlando Magic,0.5,Championship Winner,BetMGM
