Outcome,Implied Probability (%),Market Description,Data Source
Golden State Warriors to beat Boston Celtics,2.941176470588235,Championship Exact Result,FanDuel
Oklahoma City Thunder to beat Indiana Pacers,3.0303030303030303,Championship Exact Result,FanDuel
Boston Celtics to beat Los Angeles Clippers,2.631578947368421,Championship Exact Result,FanDuel
Golden State Warriors to beat Cleveland Cavaliers,2.4390243902439024,Championship Exact Result,FanDuel
Minnesota Timberwolves to beat Boston Celtics,2.3255813953488373,Championship Exact Result,FanDuel
Boston Celtics to beat Los Angeles Lakers,1.96078431372549,Championship Exact Result,FanDuel
Minnesota Timberwolves to beat Cleveland Cavaliers,1.96078431372549,Championship Exact Result,FanDuel
Cleveland Cavaliers to beat Denver Nuggets,1.96078431372549,Championship Exact Result,FanDuel
Cleveland Cavaliers to beat Los Angeles Clippers,1.639344262295082,Championship Exact Result,FanDuel
Denver Nuggets to beat Boston Celtics,1.5151515151515151,Championship Exact Result,FanDuel
Los Angeles Clippers to beat Boston Celtics,1.4084507042253522,Championship Exact Result,FanDuel
New York Knicks to beat Oklahoma City Thunder,1.3157894736842104,Championship Exact Result,FanDuel
Denver Nuggets to beat Cleveland Cavaliers,1.162790697674419,Championship Exact Result,FanDuel
Los Angeles Lakers to beat Boston Celtics,1.098901098901099,Championship Exact Result,FanDuel
Cleveland Cavaliers to beat Los Angeles Lakers,1.098901098901099,Championship Exact Result,FanDuel
Los Angeles Clippers to beat Cleveland Cavaliers,1.098901098901099,Championship Exact Result,FanDuel
Boston Celtics to beat Houston Rockets,1.098901098901099,Championship Exact Result,FanDuel
Los Angeles Lakers to beat Cleveland Cavaliers,0.99009900990099,Championship Exact Result,FanDuel
Indiana Pacers to beat Oklahoma City Thunder,0.9009009009009008,Championship Exact Result,FanDuel
Golden State Warriors to beat New York Knicks,0.6211180124223602,Championship Exact Result,FanDuel
Cleveland Cavaliers to beat Houston Rockets,0.7633587786259541,Championship Exact Result,FanDuel
Golden State Warriors to beat Indiana Pacers,0.5847953216374269,Championship Exact Result,FanDuel
New York Knicks to beat Golden State Warriors,0.5847953216374269,Championship Exact Result,FanDuel
New York Knicks to beat Minnesota Timberwolves,0.5524861878453038,Championship Exact Result,FanDuel
Minnesota Timberwolves to beat Indiana Pacers,0.5235602094240838,Championship Exact Result,FanDuel
Minnesota Timberwolves to beat New York Knicks,0.5235602094240838,Championship Exact Result,FanDuel
Oklahoma City Thunder to beat Detroit Pistons,0.5235602094240838,Championship Exact Result,FanDuel
Indiana Pacers to beat Golden State Warriors,0.4739336492890995,Championship Exact Result,FanDuel
Houston Rockets to beat Boston Celtics,0.5235602094240838,Championship Exact Result,FanDuel
Indiana Pacers to beat Minnesota Timberwolves,0.4149377593360996,Championship Exact Result,FanDuel
Houston Rockets to beat Cleveland Cavaliers,0.398406374501992,Championship Exact Result,FanDuel
Denver Nuggets to beat Indiana Pacers,0.3115264797507788,Championship Exact Result,FanDuel
New York Knicks to beat Denver Nuggets,0.3115264797507788,Championship Exact Result,FanDuel
Denver Nuggets to beat New York Knicks,0.3115264797507788,Championship Exact Result,FanDuel
Los Angeles Clippers to beat New York Knicks,0.2849002849002849,Championship Exact Result,FanDuel
Los Angeles Clippers to beat Indiana Pacers,0.2695417789757413,Championship Exact Result,FanDuel
New York Knicks to beat Los Angeles Clippers,0.2375296912114014,Championship Exact Result,FanDuel
Indiana Pacers to beat Denver Nuggets,0.2169197396963123,Championship Exact Result,FanDuel
Los Angeles Lakers to beat New York Knicks,0.1996007984031935,Championship Exact Result,FanDuel
Los Angeles Lakers to beat Indiana Pacers,0.1996007984031935,Championship Exact Result,FanDuel
New York Knicks to beat Los Angeles Lakers,0.1814882032667876,Championship Exact Result,FanDuel
Indiana Pacers to beat Los Angeles Clippers,0.1814882032667876,Championship Exact Result,FanDuel
Detroit Pistons to beat Oklahoma City Thunder,0.1663893510815307,Championship Exact Result,FanDuel
Indiana Pacers to beat Los Angeles Lakers,0.1248439450686641,Championship Exact Result,FanDuel
New York Knicks to beat Houston Rockets,0.0999000999000999,Championship Exact Result,FanDuel
Houston Rockets to beat New York Knicks,0.0999000999000999,Championship Exact Result,FanDuel
Houston Rockets to beat Indiana Pacers,0.0999000999000999,Championship Exact Result,FanDuel
Los Angeles Lakers to beat Detroit Pistons,0.0999000999000999,Championship Exact Result,FanDuel
Detroit Pistons to beat Los Angeles Clippers,0.0999000999000999,Championship Exact Result,FanDuel
Denver Nuggets to beat Detroit Pistons,0.0999000999000999,Championship Exact Result,FanDuel
Detroit Pistons to beat Minnesota Timberwolves,0.0999000999000999,Championship Exact Result,FanDuel
Los Angeles Clippers to beat Detroit Pistons,0.0999000999000999,Championship Exact Result,FanDuel
Houston Rockets to beat Detroit Pistons,0.0999000999000999,Championship Exact Result,FanDuel
Golden State Warriors to beat Detroit Pistons,0.0999000999000999,Championship Exact Result,FanDuel
Detroit Pistons to beat Los Angeles Lakers,0.0999000999000999,Championship Exact Result,FanDuel
Detroit Pistons to beat Golden State Warriors,0.0999000999000999,Championship Exact Result,FanDuel
Minnesota Timberwolves to beat Detroit Pistons,0.0999000999000999,Championship Exact Result,FanDuel
Indiana Pacers to beat Houston Rockets,0.0999000999000999,Championship Exact Result,FanDuel
Detroit Pistons to beat Houston Rockets,0.0999000999000999,Championship Exact Result,FanDuel
Detroit Pistons to beat Denver Nuggets,0.0999000999000999,Championship Exact Result,FanDuel
Oklahoma City Thunder,40.81632653061224,Championship Winner,Caesars NJ
Boston Celtics,33.33333333333333,Championship Winner,Caesars NJ
Cleveland Cavaliers,16.0,Championship Winner,Caesars NJ
Golden State Warriors,6.25,Championship Winner,Caesars NJ
Minnesota Timberwolves,3.8461538461538463,Championship Winner,Caesars NJ
Denver Nuggets,2.4390243902439024,Championship Winner,Caesars NJ
Los Angeles Clippers,2.4390243902439024,Championship Winner,Caesars NJ
New York Knicks,1.96078431372549,Championship Winner,Caesars NJ
Los Angeles Lakers,2.1739130434782608,Championship Winner,Caesars NJ
Indiana Pacers,1.96078431372549,Championship Winner,Caesars NJ
Houston Rockets,0.4975124378109453,Championship Winner,Caesars NJ
Detroit Pistons,0.2849002849002849,Championship Winner,Caesars NJ
Oklahoma City Thunder,38.46153846153847,Championship Winner,Borgata
Boston Celtics,33.33333333333333,Championship Winner,Borgata
Cleveland Cavaliers,16.666666666666664,Championship Winner,Borgata
Golden State Warriors,5.88235294117647,Championship Winner,Borgata
Minnesota Timberwolves,3.8461538461538463,Championship Winner,Borgata
Denver Nuggets,2.4390243902439024,Championship Winner,Borgata
Los Angeles Clippers,2.4390243902439024,Championship Winner,Borgata
New York Knicks,2.4390243902439024,Championship Winner,Borgata
Los Angeles Lakers,2.4390243902439024,Championship Winner,Borgata
Indiana Pacers,1.96078431372549,Championship Winner,Borgata
Houston Rockets,0.4975124378109453,Championship Winner,Borgata
Detroit Pistons,0.1996007984031935,Championship Winner,Borgata
Oklahoma City Thunder,38.46153846153847,Championship Winner,BetRivers
Boston Celtics,33.33333333333333,Championship Winner,BetRivers
Cleveland Cavaliers,16.666666666666664,Championship Winner,BetRivers
Golden State Warriors,5.88235294117647,Championship Winner,BetRivers
Minnesota Timberwolves,3.8461538461538463,Championship Winner,BetRivers
Denver Nuggets,2.4390243902439024,Championship Winner,BetRivers
Los Angeles Clippers,2.4390243902439024,Championship Winner,BetRivers
New York Knicks,2.4390243902439024,Championship Winner,BetRivers
Los Angeles Lakers,2.4390243902439024,Championship Winner,BetRivers
Indiana Pacers,1.96078431372549,Championship Winner,BetRivers
Houston Rockets,0.4975124378109453,Championship Winner,BetRivers
Detroit Pistons,0.1996007984031935,Championship Winner,BetRivers
Boston Celtics,58.333333333333336,Eastern Conference Winner,FanDuel
Cleveland Cavaliers,39.21568627450981,Eastern Conference Winner,FanDuel
New York Knicks,5.555555555555555,Eastern Conference Winner,FanDuel
Indiana Pacers,5.263157894736842,Eastern Conference Winner,FanDuel
Detroit Pistons,0.7633587786259541,Eastern Conference Winner,FanDuel
Boston Celtics,59.18367346938776,Eastern Conference Winner,DraftKings
Cleveland Cavaliers,38.46153846153847,Eastern Conference Winner,DraftKings
New York Knicks,5.555555555555555,Eastern Conference Winner,DraftKings
Indiana Pacers,5.263157894736842,Eastern Conference Winner,DraftKings
Detroit Pistons,0.6622516556291391,Eastern Conference Winner,DraftKings
Boston Celtics,58.333333333333336,Eastern Conference Winner,BetMGM
Cleveland Cavaliers,37.735849056603776,Eastern Conference Winner,BetMGM
New York Knicks,5.88235294117647,Eastern Conference Winner,BetMGM
Indiana Pacers,5.263157894736842,Eastern Conference Winner,BetMGM
Detroit Pistons,0.6622516556291391,Eastern Conference Winner,BetMGM
Boston Celtics,59.18367346938776,Eastern Conference Winner,Bet365 US
